Use Glasses,1
Use ASR,1
Gaze object,cereals,Decision Prob.,0.519872,>,Threshold execute,Seconds from demo start time,33.2192
Compute grasp poses object,cereals2,,,,,Seconds from demo start time,33.3047
Feasible reaching pose for object,cereals2,,,,,Seconds from demo start time,33.8702
Plan trajectory reaching pose for object,cereals2,arm,left,,,Seconds from demo start time,34.1517
Gaze object,cereals,Decision Prob.,0.509426,>,Threshold execute,Seconds from demo start time,36.8199
Start Execution trajectory to reach,cereals2,arm,left,,,Seconds from demo start time,36.82
Robot in reaching Pose trajectory,cereals2,arm,left,,,Seconds from demo start time,43.0867
Asr command to grasp object,cereals,NOT found,,,,Seconds from demo start time,53.1252
Compute grasp poses object,cereals2,,,,,Seconds from demo start time,53.203
Feasible reaching pose for object,cereals2,,,,,Seconds from demo start time,53.7668
Plan trajectory reaching pose for object,cereals2,arm,left,,,Seconds from demo start time,53.8953
