Use Glasses,1
Use ASR,1
Gaze object,cereals,Decision Prob.,0.433333,>,Threshold execute,Seconds from demo start time,25.723
Gaze object,cereals,Decision Prob.,0.433333,>,Threshold execute,Seconds from demo start time,25.723
Compute grasp poses object,cereals3,,,,,Seconds from demo start time,25.788
Feasible reaching pose for object,cereals3,,,,,Seconds from demo start time,26.291
Plan trajectory reaching pose for object,cereals3,arm,right,,,Seconds from demo start time,26.529
Start Execution trajectory to reach,cereals3,arm,right,,,Seconds from demo start time,26.529
Asr command to grasp object,milk,different,,,,Seconds from demo start time,28.074
Compute grasp poses object,milk2,,,,,Seconds from demo start time,28.088
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,28.091
Plan trajectory reaching pose for object,milk2,arm,left,,,Seconds from demo start time,28.226
Compute grasp poses object,milk2,,,,,Seconds from demo start time,28.288
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,28.29
Plan trajectory reaching pose for object,milk2,arm,left,,,Seconds from demo start time,28.461
Compute grasp poses object,milk2,,,,,Seconds from demo start time,28.488
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,28.49
Plan trajectory reaching pose for object,milk2,arm,left,,,Seconds from demo start time,28.641
Compute grasp poses object,milk2,,,,,Seconds from demo start time,28.689
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,28.691
Plan trajectory reaching pose for object,milk2,arm,left,,,Seconds from demo start time,28.816
Compute grasp poses object,milk2,,,,,Seconds from demo start time,28.889
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,28.89
Plan trajectory reaching pose for object,milk2,arm,left,,,Seconds from demo start time,29.026
Compute grasp poses object,milk2,,,,,Seconds from demo start time,29.09
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,29.09
Plan trajectory reaching pose for object,milk2,arm,left,,,Seconds from demo start time,29.253
Compute grasp poses object,milk2,,,,,Seconds from demo start time,29.288
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,29.289
Plan trajectory reaching pose for object,milk2,arm,left,,,Seconds from demo start time,29.441
Compute grasp poses object,milk2,,,,,Seconds from demo start time,29.488
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,29.489
Plan trajectory reaching pose for object,milk2,arm,left,,,Seconds from demo start time,29.62
Compute grasp poses object,milk2,,,,,Seconds from demo start time,29.688
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,29.692
Plan trajectory reaching pose for object,milk2,arm,left,,,Seconds from demo start time,29.839
Compute grasp poses object,milk2,,,,,Seconds from demo start time,29.887
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,29.889
Plan trajectory reaching pose for object,milk2,arm,left,,,Seconds from demo start time,30.049
Compute grasp poses object,milk2,,,,,Seconds from demo start time,30.087
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,30.088
Plan trajectory reaching pose for object,milk2,arm,left,,,Seconds from demo start time,30.224
Compute grasp poses object,milk2,,,,,Seconds from demo start time,30.289
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,30.289
