Use Glasses,1
Use ASR,1
Gaze object,cereals,Decision Prob.,0.433333,>,Threshold execute,Seconds from demo start time,20.882
Gaze object,cereals,Decision Prob.,0.433333,>,Threshold execute,Seconds from demo start time,20.882
Compute grasp poses object,cereals3,,,,,Seconds from demo start time,20.934
Feasible reaching pose for object,cereals3,,,,,Seconds from demo start time,21.443
Plan trajectory reaching pose for object,cereals3,arm,right,,,Seconds from demo start time,21.747
Start Execution trajectory to reach,cereals3,arm,right,,,Seconds from demo start time,21.747
Asr command to grasp object,milk,different,,,,Seconds from demo start time,22.624
Compute grasp poses object,milk2,,,,,Seconds from demo start time,22.734
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,22.742
Plan trajectory reaching pose for object,milk2,arm,right,,,Seconds from demo start time,22.894
Compute grasp poses object,milk2,,,,,Seconds from demo start time,22.934
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,22.948
Plan trajectory reaching pose for object,milk2,arm,right,,,Seconds from demo start time,23.12
Compute grasp poses object,milk2,,,,,Seconds from demo start time,23.14
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,23.146
Plan trajectory reaching pose for object,milk2,arm,right,,,Seconds from demo start time,23.308
Compute grasp poses object,milk2,,,,,Seconds from demo start time,23.334
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,23.336
Plan trajectory reaching pose for object,milk2,arm,right,,,Seconds from demo start time,23.538
Compute grasp poses object,milk2,,,,,Seconds from demo start time,23.635
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,23.637
Plan trajectory reaching pose for object,milk2,arm,right,,,Seconds from demo start time,23.763
Compute grasp poses object,milk2,,,,,Seconds from demo start time,23.834
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,23.836
Plan trajectory reaching pose for object,milk2,arm,right,,,Seconds from demo start time,23.954
Compute grasp poses object,milk2,,,,,Seconds from demo start time,24.034
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,24.035
Plan trajectory reaching pose for object,milk2,arm,right,,,Seconds from demo start time,24.174
Compute grasp poses object,milk2,,,,,Seconds from demo start time,24.234
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,24.246
Plan trajectory reaching pose for object,milk2,arm,right,,,Seconds from demo start time,24.405
Compute grasp poses object,milk2,,,,,Seconds from demo start time,24.439
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,24.448
Plan trajectory reaching pose for object,milk2,arm,right,,,Seconds from demo start time,24.641
Compute grasp poses object,milk2,,,,,Seconds from demo start time,24.734
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,24.741
Plan trajectory reaching pose for object,milk2,arm,right,,,Seconds from demo start time,24.894
Compute grasp poses object,milk2,,,,,Seconds from demo start time,24.935
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,24.943
Plan trajectory reaching pose for object,milk2,arm,right,,,Seconds from demo start time,25.09
Compute grasp poses object,milk2,,,,,Seconds from demo start time,25.134
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,25.145
Plan trajectory reaching pose for object,milk2,arm,right,,,Seconds from demo start time,25.302
Compute grasp poses object,milk2,,,,,Seconds from demo start time,25.333
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,25.337
Plan trajectory reaching pose for object,milk2,arm,right,,,Seconds from demo start time,25.48
Compute grasp poses object,milk2,,,,,Seconds from demo start time,25.534
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,25.538
Plan trajectory reaching pose for object,milk2,arm,right,,,Seconds from demo start time,25.734
Compute grasp poses object,milk2,,,,,Seconds from demo start time,25.835
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,25.838
Plan trajectory reaching pose for object,milk2,arm,right,,,Seconds from demo start time,25.983
Compute grasp poses object,milk2,,,,,Seconds from demo start time,26.035
