Use Glasses,1
Use ASR,1
Gaze object,butter,Decision Prob.,0.75,>,Threshold execute,Seconds from demo start time,15.157
Compute grasp poses object,butter,,,,,Seconds from demo start time,15.1615
Feasible reaching pose for object,butter,,,,,Seconds from demo start time,15.1644
Plan trajectory reaching pose for object,butter,arm,right,,,Seconds from demo start time,15.5737
Gaze object,butter,Decision Prob.,0.635831,>,Threshold execute,Seconds from demo start time,15.5904
Start Execution trajectory to reach,butter,arm,right,,,Seconds from demo start time,15.5905
Robot in reaching Pose trajectory,butter,arm,right,,,Seconds from demo start time,21.8637
Asr command to grasp object,butter,same,,,,Seconds from demo start time,25.8936
Object grasped,butter,,,,,Seconds from demo start time,31.8642
Object up,butter,,,,,Seconds from demo start time,37.8292
