Use Glasses,1
Use ASR,1
Gaze object,cereals,Decision Prob.,0.433333,>,Threshold execute,Seconds from demo start time,23.982
Gaze object,cereals,Decision Prob.,0.433333,>,Threshold execute,Seconds from demo start time,23.983
Compute grasp poses object,cereals3,,,,,Seconds from demo start time,24.056
Feasible reaching pose for object,cereals3,,,,,Seconds from demo start time,24.059
Plan trajectory reaching pose for object,cereals3,arm,right,,,Seconds from demo start time,24.318
Start Execution trajectory to reach,cereals3,arm,right,,,Seconds from demo start time,24.318
Asr command to grasp object,milk,different,,,,Seconds from demo start time,25.834
Compute grasp poses object,milk2,,,,,Seconds from demo start time,25.857
Feasible reaching pose for object,milk2,,,,,Seconds from demo start time,25.861
Plan trajectory reaching pose for object,milk2,arm,left,,,Seconds from demo start time,26.013
Start Execution trajectory to reach,milk2,arm,left,,,Seconds from demo start time,26.013
Robot in reaching Pose trajectory,milk2,arm,left,,,Seconds from demo start time,31.258
Object grasped,milk2,,,,,Seconds from demo start time,36.997
Object up,milk2,,,,,Seconds from demo start time,42.316
