Use Glasses,1
Use ASR,1
Gaze object,coffee,Decision Prob.,0.878906,>,Threshold execute,Seconds from demo start time,21.2937
Compute grasp poses object,coffee,,,,,Seconds from demo start time,21.338
Feasible reaching pose for object,coffee,,,,,Seconds from demo start time,21.3418
Plan trajectory reaching pose for object,coffee,arm,right,,,Seconds from demo start time,21.6933
Gaze object,coffee,Decision Prob.,0.992432,>,Threshold execute,Seconds from demo start time,21.8053
Start Execution trajectory to reach,coffee,arm,right,,,Seconds from demo start time,21.8054
Asr command to grasp object,coffee,same,,,,Seconds from demo start time,24.4863
Robot in reaching Pose trajectory,coffee,arm,right,,,Seconds from demo start time,43.3845
Object grasped,coffee,,,,,Seconds from demo start time,49.424
Object up,coffee,,,,,Seconds from demo start time,63.2111
