Use Glasses,1
Use ASR,1
Gaze object,sugar,Decision Prob.,0.75,>,Threshold execute,Seconds from demo start time,33.8454
Compute grasp poses object,sugar3,,,,,Seconds from demo start time,33.8961
Feasible reaching pose for object,sugar3,,,,,Seconds from demo start time,34.5875
Plan trajectory reaching pose for object,sugar3,arm,left,,,Seconds from demo start time,34.9242
Gaze object,sugar,Decision Prob.,0.75,>,Threshold execute,Seconds from demo start time,37.0772
Start Execution trajectory to reach,sugar3,arm,left,,,Seconds from demo start time,37.0773
Asr command to grasp object,sugar,same,,,,Seconds from demo start time,37.2232
Robot in reaching Pose trajectory,sugar3,arm,left,,,Seconds from demo start time,45.5227
Object grasped,sugar3,,,,,Seconds from demo start time,51.8832
Object up,sugar3,,,,,Seconds from demo start time,61.9857
